--- Terminal on /dev/ttyUSB0 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
23:06:01.474 >    933s | 35.9 | 31.0 |  4.93 |  74.06 |  50.00 | -0.75 | 100.0 | 100%
23:06:02.244 >    934s | 35.6 | 30.0 |  5.62 |  84.37 |  50.00 |  1.37 | 100.0 | 100%
23:06:02.260 > 
23:06:02.260 > >>> Setpoint changed to: 30.0 C
23:06:02.263 > 
23:06:02.263 >   TIME | T_act | Setpt | Error |    P    |    I    |    D    | Output | FAN
23:06:02.268 > -------|-------|-------|-------|---------|---------|---------|--------|----
23:06:03.032 >    935s | 35.2 | 30.0 |  5.25 |  78.75 |  50.00 | -0.75 | 100.0 | 100%
23:06:03.802 >    936s | 34.8 | 30.0 |  4.87 |  73.12 |  50.00 | -0.75 | 100.0 | 100%
23:06:04.572 >    937s | 34.6 | 30.0 |  4.62 |  69.37 |  50.00 | -0.50 | 100.0 | 100%
23:06:05.342 >    938s | 34.3 | 30.0 |  4.31 |  64.68 |  50.00 | -0.62 | 100.0 | 100%
23:06:06.113 >    939s | 34.0 | 30.0 |  4.00 |  60.00 |  50.00 | -0.62 | 100.0 | 100%
23:06:06.883 >    940s | 33.7 | 30.0 |  3.75 |  56.25 |  50.00 | -0.50 | 100.0 | 100%
23:06:07.653 >    941s | 33.5 | 30.0 |  3.50 |  52.50 |  50.00 | -0.50 | 100.0 | 100%
23:06:08.424 >    942s | 33.2 | 30.0 |  3.25 |  48.75 |  50.00 | -0.50 |  98.2 |  98%
23:06:09.194 >    943s | 33.0 | 30.0 |  3.00 |  45.00 |  50.00 | -0.50 |  94.5 |  94%
23:06:09.964 >    944s | 32.7 | 30.0 |  2.75 |  41.25 |  50.00 | -0.50 |  90.7 |  90%
23:06:10.734 >    945s | 32.5 | 30.0 |  2.50 |  37.50 |  50.00 | -0.50 |  87.0 |  87%
23:06:11.505 >    946s | 32.3 | 30.0 |  2.31 |  34.68 |  50.00 | -0.37 |  84.3 |  84%
23:06:12.276 >    947s | 32.0 | 30.0 |  2.06 |  30.93 |  50.00 | -0.50 |  80.4 |  80%
23:06:13.046 >    948s | 31.8 | 30.0 |  1.87 |  28.12 |  50.00 | -0.37 |  77.7 |  77%
23:06:13.817 >    949s | 31.6 | 30.0 |  1.62 |  24.37 |  50.00 | -0.50 |  73.8 |  73%
23:06:14.587 >    950s | 31.4 | 30.0 |  1.43 |  21.56 |  50.00 | -0.37 |  71.1 |  71%
23:06:15.358 >    951s | 31.2 | 30.0 |  1.25 |  18.75 |  50.00 | -0.37 |  68.3 |  68%
23:06:16.128 >    952s | 31.0 | 30.0 |  1.06 |  15.93 |  50.00 | -0.37 |  65.5 |  65%
23:06:16.899 >    953s | 30.8 | 30.0 |  0.87 |  13.12 |  50.00 | -0.37 |  62.7 |  62%
23:06:17.670 >    954s | 30.6 | 30.0 |  0.68 |  10.31 |  50.00 | -0.37 |  59.9 |  59%
23:06:18.439 >    955s | 30.5 | 30.0 |  0.56 |  8.43 |  50.00 | -0.25 |  58.1 |  58%
23:06:19.209 >    956s | 30.3 | 30.0 |  0.37 |  5.62 |  50.00 | -0.37 |  55.2 |  55%
23:06:19.977 >    957s | 30.2 | 30.0 |  0.25 |  3.75 |  50.00 | -0.25 |  53.5 |  53%
23:06:20.746 >    958s | 30.1 | 30.0 |  0.12 |  1.87 |  50.00 | -0.25 |  51.6 |  51%
23:06:21.515 >    959s | 29.9 | 30.0 | -0.06 | -0.93 |  49.96 | -0.37 |  48.6 |  48%
23:06:22.284 >    960s | 29.8 | 30.0 | -0.18 | -2.81 |  49.87 | -0.25 |  46.8 |  46%
23:06:23.053 >    961s | 29.7 | 30.0 | -0.25 | -3.75 |  49.75 | -0.12 |  45.8 |  45%
23:06:23.822 >    962s | 29.6 | 30.0 | -0.37 | -5.62 |  49.56 | -0.25 |  43.6 |  43%
23:06:24.591 >    963s | 29.5 | 30.0 | -0.50 | -7.50 |  49.31 | -0.25 |  41.5 |  41%
23:06:25.360 >    964s | 29.3 | 30.0 | -0.62 | -9.37 |  49.00 | -0.25 |  39.3 |  39%
23:06:26.128 >    965s | 29.2 | 30.0 | -0.75 | -11.25 |  48.62 | -0.25 |  37.1 |  37%
23:06:26.898 >    966s | 29.1 | 30.0 | -0.81 | -12.18 |  48.21 | -0.12 |  35.9 |  35%
23:06:27.668 >    967s | 29.0 | 30.0 | -0.93 | -14.06 |  47.75 | -0.25 |  33.4 |  33%
23:06:28.438 >    968s | 29.0 | 30.0 | -1.00 | -15.00 |  47.25 | -0.12 |  32.1 |  32%
23:06:29.208 >    969s | 28.8 | 30.0 | -1.12 | -16.87 |  46.68 | -0.25 |  29.5 |  29%
23:06:29.978 >    970s | 28.8 | 30.0 | -1.18 | -17.81 |  46.09 | -0.12 |  28.1 |  28%
23:06:30.748 >    971s | 28.7 | 30.0 | -1.25 | -18.75 |  45.46 | -0.12 |  26.5 |  26%
23:06:31.518 >    972s | 28.6 | 30.0 | -1.31 | -19.68 |  44.81 | -0.12 |  25.0 |  25%
23:06:32.288 >    973s | 28.5 | 30.0 | -1.43 | -21.56 |  44.09 | -0.25 |  22.2 |  22%
23:06:33.058 >    974s | 28.5 | 30.0 | -1.50 | -22.50 |  43.34 | -0.12 |  20.7 |  20%
23:06:33.827 >    975s | 28.4 | 30.0 | -1.56 | -23.43 |  42.56 | -0.12 |  19.0 |  19%
23:06:34.597 >    976s | 28.3 | 30.0 | -1.62 | -24.37 |  41.75 | -0.12 |  17.2 |  17%
23:06:35.367 >    977s | 28.3 | 30.0 | -1.68 | -25.31 |  40.90 | -0.12 |  15.4 |  15%
